Frequency,Label
16.725923012413237,Bird
18.04858975534377,Bird
24.062356656806728,Bird
91.10140671359169,Bird
10.240914807087398,Bird
52.39569443158003,Bird
34.48261755087073,Bird
10.049613590188988,Bird
91.24543752537623,Bird
34.71897282852214,Bird
15.534309540634418,Bird
22.100966725277615,Bird
34.10599178356459,Bird
57.754042566880734,Bird
37.49645805276541,Bird
34.04412885309812,Bird
37.09423341321308,Bird
60.431649744563984,Bird
29.195537207285415,Bird
11.927998130556627,Bird
41.59162737199791,Bird
55.84239594375514,Bird
41.19745662192782,Bird
2.1033737411290554,Bird
80.91459656730314,Bird
89.93940957524003,Bird
47.462704951285495,Bird
16.44939871546636,Bird
86.21075729365106,Bird
34.235921804789825,Bird
67.99652103734475,Bird
40.860142860156536,Bird
85.77297619202903,Bird
32.14956519425619,Bird
46.694265069606224,Bird
93.80665974007965,Bird
51.64208800987353,Bird
73.16032759293599,Bird
35.475464107811064,Bird
25.80519751839403,Bird
33.840706241326636,Bird
91.22851239245087,Bird
0.4320169056671652,Bird
69.70807504432969,Bird
65.7791245758593,Bird
34.18747023625486,Bird
0.43054976773075904,Bird
75.27359012650903,Bird
99.5280440276309,Bird
68.13224034371093,Bird
25.111068373813428,Bird
25.509830352322837,Bird
72.70293329256381,Bird
15.620673671766362,Bird
35.64328934074214,Bird
92.59467566570689,Bird
70.98772390989441,Bird
48.032740219991744,Bird
68.33076721242766,Bird
65.0927845282366,Bird
80.33884144933792,Bird
31.81484303611053,Bird
89.55297428952244,Bird
53.43096099463974,Bird
59.79915643870276,Bird
26.003335568844456,Bird
49.370260117460916,Bird
66.17558212245554,Bird
84.77504331137548,Bird
43.41826775083625,Bird
2.246443902744377,Bird
49.40756250800496,Bird
51.64216030176365,Bird
25.080789676887417,Bird
51.454615721128405,Bird
20.89234866406473,Bird
3.18676585048121,Bird
92.2445716830955,Bird
51.25801272074993,Bird
47.220825713826365,Bird
96.8553777442304,Bird
29.37999911494972,Bird
31.778144587023238,Bird
2.085690281950958,Bird
44.49546286734797,Bird
68.52769987554639,Bird
43.67772663953171,Bird
23.250112722172666,Bird
75.81948282608852,Bird
66.13029855042095,Bird
83.82098382628382,Bird
77.4797053883046,Bird
38.72197619691584,Bird
46.84830737470045,Bird
75.17746614234213,Bird
69.51651015941982,Bird
72.6888453266983,Bird
68.93643903599212,Bird
94.72750648907623,Bird
56.16933403850496,Bird
53.66430138012883,Bird
11.065230643929269,Bird
59.81415006508238,Bird
52.85183830466944,Bird
70.32042453591438,Bird
21.01406760514506,Bird
69.23288563603218,Bird
21.537803568334347,Bird
3.6414318645318966,Bird
54.71174412611541,Bird
88.74931036656596,Bird
78.47222761664486,Bird
4.908364501029883,Bird
25.654552612067683,Bird
67.20487421005214,Bird
36.000167397121984,Bird
48.72374192394007,Bird
75.26497233948162,Bird
48.06930675420739,Bird
22.123480972845677,Bird
20.82313276058352,Bird
81.98147894802123,Bird
28.792523381633206,Bird
12.18637398940141,Bird
8.375209551243735,Bird
18.035433920314425,Bird
93.66209240001795,Bird
66.82911584046796,Bird
42.97571489341373,Bird
75.29142080083263,Bird
17.063057109865408,Bird
41.96461081734631,Bird
28.456181387688485,Bird
37.15478399072091,Bird
37.500947307949836,Bird
48.858337279932606,Bird
20.848599214824503,Bird
70.84501908066886,Bird
29.497807853632075,Bird
9.514743392168857,Bird
3.153398373498162,Bird
98.19166526572933,Bird
61.35314235237759,Bird
94.57072833216002,Bird
7.3505338377129465,Bird
90.70881071290877,Bird
73.38229625082616,Bird
72.74572036408502,Bird
12.216191299279622,Bird
88.96901111646078,Bird
61.09076087068209,Bird
39.7324938052574,Bird
11.753938196534397,Bird
85.08897767649563,Bird
94.0088952942719,Bird
20.863831921551256,Bird
15.112282826715596,Bird
82.33595565077519,Bird
30.217696964595774,Bird
1.491988029730651,Bird
18.03451535474867,Bird
39.31495844010635,Bird
32.62321007138833,Bird
91.11991494230135,Bird
10.408591522116806,Bird
33.9055508031397,Bird
99.1933344438325,Bird
55.91581291842381,Bird
24.93242347231629,Bird
30.265144940399836,Bird
92.54124088470422,Bird
50.527189543021535,Bird
43.09980691798435,Bird
87.36654281510467,Bird
0.058251293924582725,Bird
48.785184104044966,Bird
21.373006255585324,Bird
60.45044400979719,Bird
33.65127656907375,Bird
38.575782180984184,Bird
31.235068177490522,Bird
23.638467647913096,Bird
75.59030779395174,Bird
88.0982425082282,Bird
18.215802249930512,Bird
67.09598686487233,Bird
64.87441381323637,Bird
36.842942699015154,Bird
85.25071419411765,Bird
45.60262185508617,Bird
23.634464805785747,Bird
77.29161321216718,Bird
11.54003313542773,Bird
58.56208803150948,Bird
64.00021557520823,Bird
16.139344453297568,Bird
65.03019369681836,Bird
41.62439699491771,Bird
16.906145553850806,Bird
85.97353656641155,Bird
15.098495797405587,Bird
70.78012152271901,Bird
30.016454085380506,Bird
17.062912939721553,Bird
46.81845872111708,Bird
69.29504440216661,Bird
74.6365594415944,Bird
22.95634541759434,Bird
14.384128383391992,Bird
34.63498271227486,Bird
2.3082660676951194,Bird
46.45042584711315,Bird
21.163309955737752,Bird
62.67234267445014,Bird
23.54948517098783,Bird
2.1985794813432102,Bird
91.93768778571382,Bird
93.67706510513494,Bird
77.6338919790875,Bird
40.01662752295303,Bird
6.159530724783268,Bird
78.53370897655442,Bird
1.9970036636671518,Bird
96.36912748443245,Bird
47.11261619819882,Bird
21.889282865251513,Bird
76.25244072134647,Bird
69.47632557698209,Bird
71.25114760519244,Bird
55.48095680688009,Bird
51.54150655553064,Bird
99.06657395531465,Bird
86.50430890254133,Bird
82.30290131032238,Bird
26.04221271414049,Bird
30.111129481498,Bird
49.985646671539556,Bird
91.67214613764783,Bird
89.07046632409353,Bird
3.530343149540871,Bird
68.19486625964069,Bird
97.72242856374585,Bird
26.323714329938184,Bird
23.463675497339388,Bird
63.410387010392675,Bird
93.86177983476524,Bird
26.072349911251415,Bird
7.337512286037418,Bird
85.0419638868024,Bird
15.3929236023565,Bird
93.87878456219678,Bird
26.850721051271897,Bird
83.7401327188486,Bird
13.346760018717841,Bird
13.233459602075436,Bird
63.09083361392833,Bird
58.76235119690772,Bird
28.024568816118812,Bird
78.80430609305593,Bird
40.30184021539418,Bird
67.22770841478898,Bird
94.49196554468877,Bird
80.65681297393692,Bird
67.4332561078505,Bird
82.5078618486308,Bird
33.849513685914864,Bird
50.22097260329673,Bird
94.20011664443942,Bird
32.91301105399347,Bird
43.32070333423733,Bird
83.05147293468099,Bird
15.4119412134753,Bird
23.44605209210139,Bird
13.241905035727786,Bird
78.98053888173973,Bird
52.866394276706515,Bird
3.6653641416627636,Bird
